,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Long-Term Career Goal,Motivation for Career Choice ,Number of Siblings,What would you like to become when you grow up,CGPA
0,22,Male,Under Graduate,Science,Culturals,Internship,Startup,10.0,Student Council Member,Attended Corporate events,Good Coding knowledge,6,Government,Social Impact,6,Government Officer,8.7
1,20,Male,Under Graduate,Science,Sports,No Experience,Research,10.0,No Experience,No Experience,Good Coding knowledge,5,Other,Passion,0,,8.9
2,20,Male,Under Graduate,Science,Sports,No Experience,Startup,7.0,No Experience,No Experience,Good Coding knowledge,8,Other,Freedom,0,,7.37
3,18,Female,Under Graduate,Science,Sports,Part Time,Corporate Job,6.0,Student Council Member,Attended Buisness meets,Good Coding knowledge,5,Research,Money,2,Government Officer,8.21
4,18,Female,High School,Science,Culturals,No Experience,Startup,9.0,Event Management,Attended Conferences,Good Coding knowledge,4,Research,Passion,0,Government Officer,7.37
5,19,Female,Under Graduate,Science,Not Participated,No Experience,Research,9.0,No Experience,No Experience,Comfortable using newly launched technologies,7,Entrepreneur,Money,1,Entrepreneur,8.5
6,19,Male,Under Graduate,Science,Not Participated,No Experience,Startup,8.0,No Experience,Attended Conferences,Good Coding knowledge,8,Entrepreneur,Passion,1,Entrepreneur,9.0
7,19,Female,High School,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Other,Money,0,,9.21
8,18,Female,High School,Science,Culturals,No Experience,Research,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,5,Entrepreneur,Freedom,1,Entrepreneur,9.49
9,19,Female,Under Graduate,Science,Not Participated,Part Time,Corporate Job,7.0,Event Management,No Experience,Good Coding knowledge,7,Corporate,Work-life Balance,0,Corporate Employee,8.1
10,18,Female,Under Graduate,Science,Culturals,No Experience,Research,4.0,No Experience,No Experience,Can efficiently work with AI tools,4,Corporate,Social Impact,1,Corporate Employee,9.58
11,18,Male,Under Graduate,Commerce,Sports,No Experience,Freelance,7.0,Student Council Member,No Experience,Comfortable using newly launched technologies,2,Corporate,Passion,1,Corporate Employee,9.51
12,19,Male,Under Graduate,Science,Sports,Part Time,Startup,6.0,Event Management,No Experience,Comfortable using newly launched technologies,8,Research,Money,1,Government Officer,9.05
13,18,Female,Under Graduate,Science,Culturals,No Experience,Freelance,9.0,No Experience,No Experience,Can efficiently work with AI tools,10,Other,Freedom,1,,8.11
14,18,Male,Under Graduate,Science,Not Participated,No Experience,Startup,7.0,No Experience,No Experience,Can efficiently work with AI tools,6,Other,Money,1,,6.9
15,18,Female,Under Graduate,Commerce,Sports,No Experience,Research,9.0,Event Management,Attended Buisness meets,Comfortable using newly launched technologies,7,Government,Money,1,Government Officer,9.0
16,18,Female,Under Graduate,Science,Sports,No Experience,Startup,9.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Other,Freedom,1,Government Officer,9.05
17,18,Male,Under Graduate,Science,Sports,No Experience,Research,7.0,No Experience,Attended Conferences,Good Coding knowledge,4,Other,Freedom,2,,8.5
18,19,Male,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Government,Money,1,,8.0
19,19,Male,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,3,Government,Money,1,,8.21
20,19,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Entrepreneur,Money,0,Entrepreneur,7.37
21,18,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Corporate,Money,1,Corporate Employee,7.89
22,19,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,8,Corporate,Passion,1,Corporate Employee,7.89
23,21,Male,Under Graduate,Science,Sports,No Experience,Freelance,7.0,Event Management,No Experience,Good Coding knowledge,4,Freelance,Work-life Balance,1,Freelancer,6.69
24,20,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,6.0,Student Council Member,Attended Buisness meets,Comfortable using newly launched technologies,6,Government,Social Impact,4,Government Officer,9.7
25,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,No Experience,Attended Conferences,Can efficiently work with AI tools,10,Entrepreneur,Money,2,Entrepreneur,7.37
26,20,Female,Under Graduate,Science,Not Participated,No Experience,Startup,3.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Corporate,Money,0,Corporate Employee,0.0
27,19,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,9.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,6,Corporate,Passion,1,Corporate Employee,9.47
28,19,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,4,Government,Money,0,Government Officer,8.63
29,18,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,5,Corporate,Passion,0,Corporate Employee,8.74
30,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,No Experience,Attended Conferences,Can efficiently work with AI tools,10,Entrepreneur,Money,1,Entrepreneur,7.37
31,19,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Good Coding knowledge,6,Entrepreneur,Money,1,Entrepreneur,9.79
32,18,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Good Coding knowledge,6,Corporate,Social Impact,1,Entrepreneur,7.89
33,19,Female,Under Graduate,Science,Sports,No Experience,Research,6.0,Student Council Member,No Experience,Comfortable using newly launched technologies,6,Other,Work-life Balance,2,Corporate Employee,8.0
34,18,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,5,Corporate,Money,1,Corporate Employee,8.65
35,19,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,7.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Corporate,Money,1,Corporate Employee,9.26
36,19,Male,Under Graduate,Science,Not Participated,No Experience,Startup,10.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Entrepreneur,Freedom,1,Entrepreneur,6.32
37,20,Male,Under Graduate,Commerce,Sports,Internship,Research,1.0,No Experience,No Experience,Good Coding knowledge,5,Entrepreneur,Money,2,,7.37
38,18,Male,High School,Commerce,Sports,No Experience,Startup,9.0,Event Management,No Experience,Good Coding knowledge,8,Entrepreneur,Money,1,Entrepreneur,8.0
39,18,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,7.0,No Experience,Attended Conferences,Can efficiently work with AI tools,5,Entrepreneur,Money,1,Entrepreneur,9.58
40,20,Male,High School,Science,Debate,No Experience,Freelance,8.0,No Experience,No Experience,Can efficiently work with AI tools,6,Freelance,Passion,0,Freelancer,7.5
41,19,Male,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,1.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,4,Other,Money,1,Government Officer,8.07
42,18,Male,Under Graduate,Science,Not Participated,No Experience,Startup,2.0,Student Council Member,Attended Conferences,Can efficiently work with AI tools,6,Entrepreneur,Passion,2,Corporate Employee,7.89
43,19,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,7.0,No Experience,No Experience,Can efficiently work with AI tools,7,Other,Passion,1,Corporate Employee,7.26
44,20,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,8.0,Event Management,Attended Corporate events,Comfortable using newly launched technologies,3,Corporate,Freedom,0,Government Officer,9.05
45,18,Female,Under Graduate,Science,Not Participated,No Experience,Startup,7.0,No Experience,Attended Conferences,Good Coding knowledge,6,Other,Passion,2,Corporate Employee,8.6
46,19,Female,Under Graduate,Science,Sports,No Experience,Research,7.0,Event Management,No Experience,Good Coding knowledge,2,Research,Freedom,2,Government Officer,7.79
47,18,Female,Under Graduate,Science,Sports,No Experience,Startup,8.0,No Experience,Attended Buisness meets,Comfortable using newly launched technologies,9,Government,Money,3,Government Officer,7.0
48,19,Female,Under Graduate,Science,Sports,No Experience,Startup,8.0,Student Council Member,No Experience,Can efficiently work with AI tools,9,Government,Work-life Balance,1,Government Officer,7.9
49,20,Male,Under Graduate,Science,Sports,No Experience,Freelance,1.0,No Experience,No Experience,Can efficiently work with AI tools,1,Research,Passion,3,Corporate Employee,6.63
50,17,Male,Under Graduate,Science,Culturals,No Experience,Freelance,10.0,No Experience,No Experience,Comfortable using newly launched technologies,2,Corporate,Money,1,Corporate Employee,1.05
51,20,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Corporate,Work-life Balance,1,Corporate Employee,9.1
52,21,Female,Under Graduate,Commerce,Culturals,Internship,Corporate Job,6.0,Event Management,Attended Conferences,Can efficiently work with AI tools,7,Other,Freedom,0,Corporate Employee,9.58
53,21,Female,Under Graduate,Science,Sports,Internship,Corporate Job,10.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,7,Corporate,Money,1,Corporate Employee,9.3
54,21,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,8,Other,Work-life Balance,1,Government Officer,9.2
55,21,Male,Under Graduate,Commerce,Sports,Internship,Startup,10.0,Event Management,Attended Buisness meets,Can efficiently work with AI tools,7,Entrepreneur,Money,1,Entrepreneur,8.0
56,21,Female,Under Graduate,Commerce,Sports,No Experience,Corporate Job,5.0,No Experience,No Experience,Comfortable using newly launched technologies,8,Entrepreneur,Money,0,Entrepreneur,9.0
57,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,7,Entrepreneur,Money,1,Entrepreneur,8.0
58,21,Male,Under Graduate,Science,Sports,Internship,Corporate Job,7.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,9,Government,Social Impact,4,Government Officer,8.5
59,20,Female,Under Graduate,Science,Not Participated,Internship,Corporate Job,9.0,No Experience,Attended Corporate events,Good Coding knowledge,7,Corporate,Freedom,1,Corporate Employee,8.2
60,21,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,10.0,Event Management,Attended Conferences,Comfortable using newly launched technologies,1,Entrepreneur,Money,1,Entrepreneur,8.0
61,21,Male,Under Graduate,Commerce,Sports,Internship,Startup,5.0,No Experience,Attended Conferences,Can efficiently work with AI tools,5,Other,Money,2,Corporate Employee,8.0
62,22,Male,Under Graduate,Commerce,Sports,Part Time,Startup,9.0,No Experience,Attended Buisness meets,Comfortable using newly launched technologies,3,Government,Money,1,,5.26
63,21,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,Event Management,Attended Buisness meets,Comfortable using newly launched technologies,4,Government,Freedom,0,Government Officer,8.08
64,21,Female,Under Graduate,Commerce,Culturals,Internship,Corporate Job,5.0,No Experience,No Experience,Can efficiently work with AI tools,4,Research,Work-life Balance,0,Research/Scientist,6.0
65,20,Male,Under Graduate,Commerce,Sports,Part Time,Corporate Job,9.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,8,Entrepreneur,Work-life Balance,4,Entrepreneur,7.5
66,21,Female,Under Graduate,Science,Sports,Internship,Corporate Job,10.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,1,Government,Work-life Balance,1,Government Officer,8.0
67,21,Male,Under Graduate,Commerce,Not Participated,No Experience,Startup,10.0,No Experience,Attended Corporate events,Good Coding knowledge,10,Corporate,Money,0,Entrepreneur,7.0
68,21,Male,Under Graduate,Mixed,Sports,Part Time,Freelance,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,1,Other,Money,1,Government Officer,8.3
69,20,Female,Under Graduate,Science,Not Participated,No Experience,Startup,7.0,No Experience,No Experience,Good Coding knowledge,7,Corporate,Money,2,Corporate Employee,9.68
70,20,Female,Under Graduate,Commerce,Not Participated,No Experience,Corporate Job,8.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,7,Corporate,Money,2,Corporate Employee,7.0
71,21,Male,Under Graduate,Science,Not Participated,Internship,Freelance,7.0,No Experience,No Experience,Can efficiently work with AI tools,6,Other,Money,1,,8.0
72,21,Male,Under Graduate,Science,Not Participated,No Experience,Startup,10.0,No Experience,No Experience,Can efficiently work with AI tools,8,Other,Passion,1,Corporate Employee,7.4
73,20,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Corporate,Work-life Balance,1,Corporate Employee,8.5
74,21,Female,Under Graduate,Commerce,Not Participated,No Experience,Startup,6.0,No Experience,No Experience,Comfortable using newly launched technologies,6,Other,Money,2,,7.8
75,20,Male,Under Graduate,Science,Culturals,No Experience,Startup,8.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Entrepreneur,Money,0,Entrepreneur,7.84
76,20,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,10.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Corporate,Work-life Balance,1,Corporate Employee,7.89
77,20,Male,Under Graduate,Science,Sports,No Experience,Startup,8.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Other,Money,1,,6.53
78,21,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,8.0,Event Management,Attended Conferences,Can efficiently work with AI tools,2,Corporate,Work-life Balance,1,Corporate Employee,8.0
79,20,Female,Under Graduate,Commerce,Sports,Internship,Research,8.0,No Experience,No Experience,Good Coding knowledge,8,Research,Money,1,Government Officer,8.42
80,21,Male,Under Graduate,Commerce,Culturals,Part Time,Startup,10.0,No Experience,No Experience,Comfortable using newly launched technologies,8,Other,Passion,1,,7.8
81,21,Male,Under Graduate,Science,Sports,Internship,Freelance,5.0,No Experience,No Experience,Can efficiently work with AI tools,5,Government,Money,1,Government Officer,7.1
82,20,Male,Under Graduate,Science,Sports,Internship,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Government,Money,1,Government Officer,8.17
83,21,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,10.0,No Experience,No Experience,Good Coding knowledge,5,Entrepreneur,Money,1,Corporate Employee,5.0
84,21,Male,Under Graduate,Mixed,Sports,Full time,Startup,8.0,Student Council Member,Attended Corporate events,Good Coding knowledge,2,Corporate,Work-life Balance,1,Corporate Employee,9.5
85,20,Male,Under Graduate,Science,Culturals,Internship,Startup,10.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,5,Entrepreneur,Passion,1,Entrepreneur,7.6
86,20,Male,Under Graduate,Science,Sports,No Experience,Startup,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,4,Other,Work-life Balance,2,Entrepreneur,6.9
87,21,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,5.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,8,Entrepreneur,Passion,1,Corporate Employee,8.9
88,20,Male,Under Graduate,Commerce,Not Participated,Part Time,Corporate Job,6.0,No Experience,No Experience,Can efficiently work with AI tools,5,Entrepreneur,Passion,1,Entrepreneur,7.5
89,21,Male,Under Graduate,Science,Sports,Internship,Corporate Job,8.0,Student Council Member,No Experience,Can efficiently work with AI tools,7,Other,Money,0,,8.85
90,20,Male,Under Graduate,Science,Sports,Internship,Startup,10.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Government,Money,2,Government Officer,7.0
91,21,Male,Under Graduate,Commerce,Not Participated,Internship,Startup,10.0,Event Management,Attended Buisness meets,Can efficiently work with AI tools,3,Entrepreneur,Passion,0,Entrepreneur,8.5
92,21,Female,Under Graduate,Commerce,Culturals,Internship,Corporate Job,8.0,Event Management,No Experience,Comfortable using newly launched technologies,7,Corporate,Money,1,Corporate Employee,9.3
93,21,Male,Under Graduate,Science,Not Participated,Part Time,Freelance,10.0,No Experience,No Experience,Comfortable using newly launched technologies,6,Other,Money,3,,8.3
94,21,Female,Under Graduate,Mixed,Culturals,No Experience,Research,9.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,5,Government,Work-life Balance,1,Government Officer,7.96
95,20,Female,Under Graduate,Commerce,Culturals,Internship,Startup,10.0,Student Council Member,Attended Corporate events,Can efficiently work with AI tools,10,Government,Social Impact,2,Government Officer,9.3
96,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,7.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,7,Government,Money,7,Government Officer,8.95
97,23,Female,Post Graduate,Science,Culturals,No Experience,Corporate Job,7.0,Student Council Member,No Experience,Can efficiently work with AI tools,7,Corporate,Work-life Balance,3,Corporate Employee,8.86
98,20,Female,Under Graduate,Mixed,Debate,Internship,Corporate Job,9.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,7,Corporate,Passion,0,Corporate Employee,9.2
99,20,Female,Under Graduate,Commerce,Culturals,No Experience,Freelance,10.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,5,Freelance,Freedom,1,Freelancer,8.0
100,20,Female,Under Graduate,Science,Not Participated,Internship,Startup,10.0,No Experience,Attended Conferences,Can efficiently work with AI tools,10,Other,Money,2,,7.0
101,20,Male,Under Graduate,Commerce,Culturals,Internship,Research,7.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,8,Research,Money,1,Government Officer,7.5
102,20,Male,Under Graduate,Commerce,Sports,Internship,Startup,10.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,7,Entrepreneur,Social Impact,1,Entrepreneur,8.6
103,20,Female,Under Graduate,Commerce,Sports,Internship,Corporate Job,8.0,No Experience,Attended Conferences,Can efficiently work with AI tools,7,Corporate,Passion,1,Corporate Employee,7.88
